time [s]	34320 PDP 8 No	34320 PDP 8 Time	34320 PDP 8 Trigger	34320 PDP 8 FIG	34320 PDP 8 qmsTP	34320 PDP 8 m2	34320 PDP 8 h2
-19.687	-20.475	001:50:58.406 	1.8e-08	1e-99	2.24e-05	5.27e-10	-7.12e+15
-19.375	-20.15	001:50:58.718 	1.8e-08	1e-99	2.23e-05	5.26e-10	-7.22e+15
-19.062	-19.825	001:50:59.031 	1.8e-08	1e-99	2.23e-05	5.37e-10	-6.12e+15
-18.75	-19.5	001:50:59.343 	1.7e-08	1e-99	2.23e-05	5.32e-10	-6.62e+15
-18.437	-19.175	001:50:59.656 	1.8e-08	1e-99	2.23e-05	5.36e-10	-6.22e+15
-18.125	-18.85	001:50:59.968 	1.8e-08	1e-99	2.23e-05	5.32e-10	-6.62e+15
-17.812	-18.525	001:51:00.281 	1.8e-08	1e-99	2.23e-05	5.35e-10	-6.32e+15
-17.5	-18.2	001:51:00.593 	1.7e-08	1e-99	2.23e-05	5.24e-10	-7.42e+15
-17.187	-17.875	001:51:00.906 	1.7e-08	1e-99	2.23e-05	5.33e-10	-6.52e+15
-16.875	-17.55	001:51:01.218 	1.8e-08	1e-99	2.23e-05	5.35e-10	-6.32e+15
-16.562	-17.225	001:51:01.531 	1.8e-08	1e-99	2.23e-05	5.29e-10	-6.92e+15
-16.25	-16.9	001:51:01.843 	1.8e-08	1e-99	2.23e-05	5.33e-10	-6.52e+15
-15.937	-16.575	001:51:02.156 	1.8e-08	1e-99	2.23e-05	5.25e-10	-7.32e+15
-15.625	-16.25	001:51:02.468 	1.7e-08	1e-99	2.23e-05	5.27e-10	-7.12e+15
-15.312	-15.925	001:51:02.781 	1.8e-08	1e-99	2.23e-05	5.29e-10	-6.92e+15
-15.0	-15.6	001:51:03.093 	1.8e-08	1e-99	2.23e-05	5.29e-10	-6.92e+15
-14.687	-15.275	001:51:03.406 	1.7e-08	1e-99	2.23e-05	5.25e-10	-7.32e+15
-14.375	-14.95	001:51:03.718 	1.7e-08	1e-99	2.23e-05	5.31e-10	-6.72e+15
-14.062	-14.625	001:51:04.031 	1.7e-08	1e-99	2.23e-05	5.22e-10	-7.62e+15
-13.75	-14.3	001:51:04.343 	1.8e-08	1e-99	2.23e-05	5.28e-10	-7.02e+15
-13.437	-13.975	001:51:04.656 	1.8e-08	1e-99	2.23e-05	5.25e-10	-7.32e+15
-13.125	-13.65	001:51:04.968 	1.8e-08	1e-99	2.24e-05	5.27e-10	-7.12e+15
-12.812	-13.325	001:51:05.281 	1.8e-08	1e-99	2.24e-05	5.27e-10	-7.12e+15
-12.5	-13.0	001:51:05.593 	1.8e-08	1e-99	2.23e-05	5.28e-10	-7.02e+15
-12.187	-12.675	001:51:05.906 	1.7e-08	1e-99	2.23e-05	5.27e-10	-7.12e+15
-11.875	-12.35	001:51:06.218 	1.7e-08	1e-99	2.23e-05	5.35e-10	-6.32e+15
-11.562	-12.025	001:51:06.531 	1.7e-08	1e-99	2.23e-05	5.32e-10	-6.62e+15
-11.25	-11.7	001:51:06.843 	1.7e-08	1e-99	2.23e-05	5.3e-10	-6.82e+15
-10.937	-11.375	001:51:07.156 	1.8e-08	1e-99	2.23e-05	5.27e-10	-7.12e+15
-10.625	-11.05	001:51:07.468 	1.8e-08	1e-99	2.23e-05	5.3e-10	-6.82e+15
-10.312	-10.725	001:51:07.781 	1.8e-08	1e-99	2.23e-05	5.28e-10	-7.02e+15
-10.0	-10.4	001:51:08.093 	1.8e-08	1e-99	2.23e-05	5.4e-10	-5.82e+15
-9.687	-10.075	001:51:08.406 	1.7e-08	1e-99	2.23e-05	5.3e-10	-6.82e+15
-9.375	-9.75	001:51:08.718 	1.8e-08	1e-99	2.23e-05	5.34e-10	-6.42e+15
-9.062	-9.425	001:51:09.031 	1.9e-08	1e-99	2.23e-05	5.25e-10	-7.32e+15
-8.75	-9.1	001:51:09.343 	1.8e-08	1e-99	2.23e-05	5.23e-10	-7.52e+15
-8.437	-8.775	001:51:09.656 	1.7e-08	1e-99	2.23e-05	5.27e-10	-7.12e+15
-8.125	-8.45	001:51:09.968 	1.7e-08	1e-99	2.23e-05	5.33e-10	-6.52e+15
